MES_ANO,ESTADO,VALOR REVENDA (R$/L)
2005-02,PARA,2.41275
2005-02,PARAIBA,2.343
2005-02,PARANA,2.186
2005-02,PERNAMBUCO,2.2295
2005-02,PIAUI,2.44125
2005-02,RIO DE JANEIRO,2.29325
2005-02,RIO GRANDE DO NORTE,2.265
2005-02,RIO GRANDE DO SUL,2.45175
2005-02,RONDONIA,2.53925
2005-02,RORAIMA,2.37525
2005-02,SANTA CATARINA,2.38575
2005-02,SAO PAULO,2.1945
2005-02,SERGIPE,2.27825
2005-02,TOCANTINS,2.447
2005-03,ACRE,2.6322
2005-03,ALAGOAS,2.4534
2005-03,AMAPA,2.4412
2005-03,AMAZONAS,2.495
2005-03,BAHIA,2.3222
2005-03,CEARA,2.4306
2005-03,DISTRITO FEDERAL,2.2704
2005-03,ESPIRITO SANTO,2.3264
2005-03,GOIAS,2.3098
2005-03,MARANHAO,2.2936
2005-03,MATO GROSSO,2.6732
2005-03,MATO GROSSO DO SUL,2.5214
2005-03,MINAS GERAIS,2.2188000000000003
2005-03,PARA,2.4265999999999996
2005-03,PARAIBA,2.293
2005-03,PARANA,2.2952
2005-03,PERNAMBUCO,2.2654
2005-03,PIAUI,2.434
2005-03,RIO DE JANEIRO,2.2906
2005-03,RIO GRANDE DO NORTE,2.2088
2005-03,RIO GRANDE DO SUL,2.405
2005-03,RONDONIA,2.5326
2005-03,RORAIMA,2.3514
2005-03,SANTA CATARINA,2.3852
2005-03,SAO PAULO,2.1898
2005-03,SERGIPE,2.2708
2005-03,TOCANTINS,2.4522
2005-04,ACRE,2.631
2005-04,ALAGOAS,2.453
2005-04,AMAPA,2.43875
2005-04,AMAZONAS,2.491
2005-04,BAHIA,2.275
2005-04,CEARA,2.4315
2005-04,DISTRITO FEDERAL,2.21075
2005-04,ESPIRITO SANTO,2.32275
2005-04,GOIAS,2.3855
2005-04,MARANHAO,2.29225
2005-04,MATO GROSSO,2.66825
2005-04,MATO GROSSO DO SUL,2.50725
2005-04,MINAS GERAIS,2.229
2005-04,PARA,2.4125
2005-04,PARAIBA,2.2405
2005-04,PARANA,2.2744999999999997
2005-04,PERNAMBUCO,2.3145
2005-04,PIAUI,2.441
2005-04,RIO DE JANEIRO,2.2895
2005-04,RIO GRANDE DO NORTE,2.28275
