ANO,REGIÃO,ESTADO,VALOR REVENDA (R$/L)
2016,SUL,RIO GRANDE DO SUL,3.8735384615384616
2016,SUL,SANTA CATARINA,3.5181346153846156
2017,CENTRO OESTE,DISTRITO FEDERAL,3.7425192307692305
2017,CENTRO OESTE,GOIAS,3.928269230769231
2017,CENTRO OESTE,MATO GROSSO,3.8003076923076926
2017,CENTRO OESTE,MATO GROSSO DO SUL,3.679826923076923
2017,NORDESTE,ALAGOAS,3.882423076923077
2017,NORDESTE,BAHIA,3.806923076923077
2017,NORDESTE,CEARA,3.9273846153846153
2017,NORDESTE,MARANHAO,3.5694230769230773
2017,NORDESTE,PARAIBA,3.645230769230769
2017,NORDESTE,PERNAMBUCO,3.672403846153846
2017,NORDESTE,PIAUI,3.63725
2017,NORDESTE,RIO GRANDE DO NORTE,3.859673076923077
2017,NORDESTE,SERGIPE,3.709653846153846
2017,NORTE,ACRE,4.348826923076923
2017,NORTE,AMAPA,3.6997692307692307
2017,NORTE,AMAZONAS,3.793269230769231
2017,NORTE,PARA,3.9952884615384616
2017,NORTE,RONDONIA,3.928423076923077
2017,NORTE,RORAIMA,3.7592499999999998
2017,NORTE,TOCANTINS,3.88775
2017,SUDESTE,ESPIRITO SANTO,3.7715576923076926
2017,SUDESTE,MINAS GERAIS,3.8359615384615386
2017,SUDESTE,RIO DE JANEIRO,4.102307692307692
2017,SUDESTE,SAO PAULO,3.572653846153846
2017,SUL,PARANA,3.6825
2017,SUL,RIO GRANDE DO SUL,3.910192307692308
2017,SUL,SANTA CATARINA,3.6615769230769226
2018,CENTRO OESTE,DISTRITO FEDERAL,4.456826923076923
2018,CENTRO OESTE,GOIAS,4.611923076923077
2018,CENTRO OESTE,MATO GROSSO,4.507288461538462
2018,CENTRO OESTE,MATO GROSSO DO SUL,4.247269230769231
2018,NORDESTE,ALAGOAS,4.545730769230769
2018,NORDESTE,BAHIA,4.512346153846154
2018,NORDESTE,CEARA,4.504596153846154
2018,NORDESTE,MARANHAO,4.15976923076923
2018,NORDESTE,PARAIBA,4.231653846153846
2018,NORDESTE,PERNAMBUCO,4.305057692307693
2018,NORDESTE,PIAUI,4.427826923076923
2018,NORDESTE,RIO GRANDE DO NORTE,4.423538461538461
2018,NORDESTE,SERGIPE,4.421096153846154
2018,NORTE,ACRE,4.980788461538461
2018,NORTE,AMAPA,4.081769230769231
2018,NORTE,AMAZONAS,4.501384615384615
2018,NORTE,PARA,4.493
2018,NORTE,RONDONIA,4.49626923076923
2018,NORTE,RORAIMA,4.2631538461538465
2018,NORTE,TOCANTINS,4.657730769230769
2018,SUDESTE,ESPIRITO SANTO,4.378980769230769
2018,SUDESTE,MINAS GERAIS,4.676057692307692
2018,SUDESTE,RIO DE JANEIRO,4.855076923076923
2018,SUDESTE,SAO PAULO,4.200115384615385
2018,SUL,PARANA,4.276692307692308
2018,SUL,RIO GRANDE DO SUL,4.590846153846154
2018,SUL,SANTA CATARINA,4.108153846153846
2019,CENTRO OESTE,DISTRITO FEDERAL,4.286538461538462
2019,CENTRO OESTE,GOIAS,4.5201730769230775
2019,CENTRO OESTE,MATO GROSSO,4.4952499999999995
2019,CENTRO OESTE,MATO GROSSO DO SUL,4.138615384615385
2019,NORDESTE,ALAGOAS,4.525384615384615
2019,NORDESTE,BAHIA,4.548903846153847
2019,NORDESTE,CEARA,4.5193653846153845
2019,NORDESTE,MARANHAO,4.354134615384615
2019,NORDESTE,PARAIBA,4.273884615384615
2019,NORDESTE,PERNAMBUCO,4.32125
2019,NORDESTE,PIAUI,4.538288461538462
2019,NORDESTE,RIO GRANDE DO NORTE,4.480673076923077
2019,NORDESTE,SERGIPE,4.384192307692308
2019,NORTE,ACRE,4.853384615384615
2019,NORTE,AMAPA,3.9478461538461542
2019,NORTE,AMAZONAS,4.2244230769230775
2019,NORTE,PARA,4.543384615384616
2019,NORTE,RONDONIA,4.514673076923077
2019,NORTE,RORAIMA,4.112076923076923
2019,NORTE,TOCANTINS,4.569423076923076
2019,SUDESTE,ESPIRITO SANTO,4.460038461538462
2019,SUDESTE,MINAS GERAIS,4.658634615384615
2019,SUDESTE,RIO DE JANEIRO,4.855096153846154
2019,SUDESTE,SAO PAULO,4.134826923076923
2019,SUL,PARANA,4.170653846153846
2019,SUL,RIO GRANDE DO SUL,4.513365384615384
2019,SUL,SANTA CATARINA,4.0743269230769235
2020,CENTRO OESTE,DISTRITO FEDERAL,4.192688888888889
2020,CENTRO OESTE,GOIAS,4.417666666666666
2020,CENTRO OESTE,MATO GROSSO,4.348577777777778
2020,CENTRO OESTE,MATO GROSSO DO SUL,4.312955555555556
2020,NORDESTE,ALAGOAS,4.402977777777777
2020,NORDESTE,BAHIA,4.378222222222222
2020,NORDESTE,CEARA,4.403777777777777
2020,NORDESTE,MARANHAO,4.192311111111111
2020,NORDESTE,PARAIBA,4.060688888888889
2020,NORDESTE,PERNAMBUCO,4.2622
2020,NORDESTE,PIAUI,4.395466666666667
2020,NORDESTE,RIO GRANDE DO NORTE,4.47108888888889
2020,NORDESTE,SERGIPE,4.405844444444445
2020,NORTE,ACRE,4.815177777777778
2020,NORTE,AMAPA,3.539311111111111
2020,NORTE,AMAZONAS,4.287333333333334
2020,NORTE,PARA,4.386044444444444
2020,NORTE,RONDONIA,4.379222222222222
2020,NORTE,RORAIMA,3.996866666666667
2020,NORTE,TOCANTINS,4.535733333333334
2020,SUDESTE,ESPIRITO SANTO,4.214533333333334
2020,SUDESTE,MINAS GERAIS,4.449266666666667
2020,SUDESTE,RIO DE JANEIRO,4.765888888888889
2020,SUDESTE,SAO PAULO,4.092044444444444
2020,SUL,PARANA,4.026711111111111
2020,SUL,RIO GRANDE DO SUL,4.356088888888889
2020,SUL,SANTA CATARINA,4.165088888888889
2021,CENTRO OESTE,DISTRITO FEDERAL,5.289529411764706
2021,CENTRO OESTE,GOIAS,5.3494117647058825
2021,CENTRO OESTE,MATO GROSSO,5.0809411764705885
2021,CENTRO OESTE,MATO GROSSO DO SUL,5.26
2021,NORDESTE,ALAGOAS,5.290235294117647
2021,NORDESTE,BAHIA,5.222764705882353
2021,NORDESTE,CEARA,5.208
2021,NORDESTE,MARANHAO,4.991882352941176
2021,NORDESTE,PARAIBA,5.004117647058823
2021,NORDESTE,PERNAMBUCO,5.07964705882353
2021,NORDESTE,PIAUI,5.315058823529411
2021,NORDESTE,RIO GRANDE DO NORTE,5.347823529411764
2021,NORDESTE,SERGIPE,5.226647058823529
2021,NORTE,ACRE,5.792999999999999
2021,NORTE,AMAPA,4.464117647058823
2021,NORTE,AMAZONAS,5.026058823529412
2021,NORTE,PARA,5.192235294117647
2021,NORTE,RONDONIA,5.283647058823529
2021,NORTE,RORAIMA,4.950882352941176
2021,NORTE,TOCANTINS,5.446058823529412
2021,SUDESTE,ESPIRITO SANTO,5.210470588235294
2021,SUDESTE,MINAS GERAIS,5.315470588235294
2021,SUDESTE,RIO DE JANEIRO,5.625294117647059
2021,SUDESTE,SAO PAULO,4.872999999999999
2021,SUL,PARANA,4.89
2021,SUL,RIO GRANDE DO SUL,5.2872941176470585
2021,SUL,SANTA CATARINA,4.943764705882352
